old_module	source_line	command_kind	fully_qualified_name
NumStability.Analysis.HighamChapter2ElementaryFunctions	138	theorem	NumStability.higham2_arctan_two_pow_thirty_correct_rounding_exceeds_pi_div_two
NumStability.Analysis.HighamChapter2FmaDiscriminant	104	theorem	NumStability.higham2FmaDiscriminantInput_square_rounds_down
NumStability.Analysis.HighamChapter2FmaDiscriminant	176	theorem	NumStability.higham2_fma_discriminant_source_counterexample_ieeeSingle
NumStability.Analysis.HighamChapter2Lindemann	49	theorem	NumStability.higham2_exp_finite_midpoint_separation
NumStability.Analysis.HighamChapter2Lindemann	95	theorem	NumStability.higham2_exp_eventually_stable_midpoint_comparisons
NumStability.Analysis.Problem2_3	35	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeSingle_normalizedValue_eq_ieeeDouble_scaledMantissa
NumStability.Analysis.Problem2_3	50	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeSingle_minNormal_eq_ieeeDouble_minNormal
NumStability.Analysis.Problem2_3	83	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_sameExponent_between_iff_mem
NumStability.Analysis.Problem2_3	163	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_sameExponent_negative_between_iff_mem
NumStability.Analysis.Problem2_3	198	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_normalized_sameExponent_positive_between_mem
NumStability.Analysis.Problem2_3	265	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_between_adjacent_ieeeSingle_sameExponent
NumStability.Analysis.Problem2_3	331	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_between_adjacent_ieeeSingle_sameExponent_signed
NumStability.Analysis.Problem2_3	377	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_boundary_between_iff_mem
NumStability.Analysis.Problem2_3	473	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_boundary_negative_between_iff_mem
NumStability.Analysis.Problem2_3	513	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_normalized_boundary_positive_between_mem
NumStability.Analysis.Problem2_3	580	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_between_adjacent_ieeeSingle_boundary
NumStability.Analysis.Problem2_3	665	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_between_adjacent_ieeeSingle_boundary_signed
NumStability.Analysis.Problem2_3	720	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeSingle_subnormalValue_eq_ieeeDouble_scaledMantissa
NumStability.Analysis.Problem2_3	773	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_subnormalBlock_between_iff_mem
NumStability.Analysis.Problem2_3	908	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_subnormalBlock_negative_between_iff_mem
NumStability.Analysis.Problem2_3	967	theorem	NumStability.FloatingPointFormat.problem2_3_subnormalBlockInteriorDoubleMantissa_normalized
NumStability.Analysis.Problem2_3	1003	theorem	NumStability.FloatingPointFormat.problem2_3_subnormalBlockInteriorDoubleMantissa_normalized_of_mem
NumStability.Analysis.Problem2_3	1063	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_normalized_subnormalBlock_positive_between_mem
NumStability.Analysis.Problem2_3	1139	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_between_ieeeSingle_positive_subnormal_block
NumStability.Analysis.Problem2_3	1238	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_between_ieeeSingle_subnormal_block_signed
NumStability.Analysis.Problem2_3	1331	theorem	NumStability.FloatingPointFormat.problem2_3_exists_adjacentSingleGap_of_ieeeSingle_realOrderAdjacentNormalized_ordered
NumStability.Analysis.Problem2_3	1432	theorem	NumStability.FloatingPointFormat.problem2_3_exists_adjacentSingleGap_of_ieeeSingle_realOrderAdjacentNormalized
NumStability.Analysis.Problem2_3	1453	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_normalized_sameExponent_signed_between_mem
NumStability.Analysis.Problem2_3	1516	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_finiteSystem_sameExponent_signed_between_exists_mem
NumStability.Analysis.Problem2_3	1590	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_normalized_boundary_signed_between_mem
NumStability.Analysis.Problem2_3	1660	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_finiteSystem_boundary_signed_between_exists_mem
NumStability.Analysis.Problem2_3	1748	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_normalized_subnormalBlock_signed_between_mem
NumStability.Analysis.Problem2_3	1817	theorem	NumStability.FloatingPointFormat.problem2_3_ieeeDouble_finiteSystem_subnormalBlock_signed_between_exists_mem
NumStability.Analysis.Problem2_3	1893	theorem	NumStability.FloatingPointFormat.problem2_3_adjacentSingleGap_finiteSystem_between_exists_mem
NumStability.Analysis.Problem2_3	1931	theorem	NumStability.FloatingPointFormat.problem2_3_adjacentSingleGap_between_iff_mem
NumStability.Analysis.Problem2_3	1983	theorem	NumStability.FloatingPointFormat.problem2_3_adjacentSingleGapDoubleValue_finiteSystem_of_mem
NumStability.Analysis.Problem2_10	872	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_three_finiteNormalRange
NumStability.Analysis.Problem2_10	893	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_thirds_rounds_to_lower
NumStability.Analysis.Problem2_10	970	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_three
NumStability.Analysis.Problem2_10	982	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_three_exact_mul_three_midpoint
NumStability.Analysis.Problem2_10	1103	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_midpoint_below_two_pow_rounds_to_two_pow
NumStability.Analysis.Problem2_10	1188	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_minus_one_sixteenth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	1287	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_minus_one_sixtyfourth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	1355	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_minus_one_sixtyfourth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	1367	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_thirds_times_three
NumStability.Analysis.Problem2_10	1381	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_three
NumStability.Analysis.Problem2_10	1396	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_three_exact_mul_three_midpoint
NumStability.Analysis.Problem2_10	1406	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_midpoint_above_two_pow_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	1423	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_thirds_times_three
NumStability.Analysis.Problem2_10	1439	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_thirds_times_three
NumStability.Analysis.Problem2_10	1682	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_oneFifth_rounds_to_upper
NumStability.Analysis.Problem2_10	1723	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_one_five
NumStability.Analysis.Problem2_10	1733	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_one_five_exact_mul_five_above_one
NumStability.Analysis.Problem2_10	1741	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_one_plus_two_pow_neg54_rounds_to_one
NumStability.Analysis.Problem2_10	1789	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_one_fifth_times_five
NumStability.Analysis.Problem2_10	1801	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_one_five
NumStability.Analysis.Problem2_10	1814	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_one_five_exact_mul_five_below_neg_one
NumStability.Analysis.Problem2_10	1821	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_one_plus_two_pow_neg54_rounds_to_neg_one
NumStability.Analysis.Problem2_10	1831	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_one_fifth_times_five
NumStability.Analysis.Problem2_10	1843	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_one_fifth_times_five
NumStability.Analysis.Problem2_10	1865	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_twoFifths_rounds_to_upper
NumStability.Analysis.Problem2_10	1906	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_five
NumStability.Analysis.Problem2_10	1916	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_five_exact_mul_five_above_two
NumStability.Analysis.Problem2_10	1924	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_plus_two_pow_neg53_rounds_to_two
NumStability.Analysis.Problem2_10	1972	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_fifth_times_five
NumStability.Analysis.Problem2_10	1984	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_five
NumStability.Analysis.Problem2_10	1997	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_five_exact_mul_five_below_neg_two
NumStability.Analysis.Problem2_10	2004	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_plus_two_pow_neg53_rounds_to_neg_two
NumStability.Analysis.Problem2_10	2014	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_fifth_times_five
NumStability.Analysis.Problem2_10	2026	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_fifth_times_five
NumStability.Analysis.Problem2_10	2049	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_threeFifths_rounds_to_lower
NumStability.Analysis.Problem2_10	2090	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_three_five
NumStability.Analysis.Problem2_10	2100	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_three_five_exact_mul_five_below_three
NumStability.Analysis.Problem2_10	2108	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_three_minus_two_pow_neg53_rounds_to_three
NumStability.Analysis.Problem2_10	2158	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_three_fifth_times_five
NumStability.Analysis.Problem2_10	2170	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_three_five
NumStability.Analysis.Problem2_10	2183	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_three_five_exact_mul_five_above_neg_three
NumStability.Analysis.Problem2_10	2190	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_three_minus_two_pow_neg53_rounds_to_neg_three
NumStability.Analysis.Problem2_10	2200	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_three_fifth_times_five
NumStability.Analysis.Problem2_10	2212	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_three_fifth_times_five
NumStability.Analysis.Problem2_10	2222	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_three_mul_two_pow_div_five_finiteNormalRange
NumStability.Analysis.Problem2_10	2242	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_three_mul_two_pow_fifths_rounds_to_lower
NumStability.Analysis.Problem2_10	2314	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_three_mul_two_pow_five
NumStability.Analysis.Problem2_10	2323	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_three_mul_two_pow_five_exact_mul_five_below
NumStability.Analysis.Problem2_10	2407	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_three_mul_two_pow_minus_quarter_ulp_rounds
NumStability.Analysis.Problem2_10	2480	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_three_mul_two_pow_fifths_times_five
NumStability.Analysis.Problem2_10	2495	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_three_mul_two_pow_five
NumStability.Analysis.Problem2_10	2512	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_three_mul_two_pow_five_exact_mul_five_above
NumStability.Analysis.Problem2_10	2522	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_three_mul_two_pow_minus_quarter_ulp_rounds
NumStability.Analysis.Problem2_10	2534	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_three_mul_two_pow_fifths_times_five
NumStability.Analysis.Problem2_10	2552	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_three_mul_two_pow_fifths_times_five
NumStability.Analysis.Problem2_10	2565	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_five_finiteNormalRange
NumStability.Analysis.Problem2_10	2585	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_fifths_rounds_to_upper
NumStability.Analysis.Problem2_10	2660	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_five
NumStability.Analysis.Problem2_10	2668	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_five_exact_mul_five_above_two_pow
NumStability.Analysis.Problem2_10	2740	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_plus_quarter_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	2846	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_plus_one_eighth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	2952	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_plus_one_sixteenth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	3058	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_plus_one_thirtysecond_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	3128	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_plus_one_thirtysecond_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	3178	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_plus_one_sixtyfourth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	3248	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_plus_one_sixtyfourth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	3298	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_plus_one_onehundredtwentyeighth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	3368	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_plus_one_onehundredtwentyeighth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	3380	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_fifths_times_five
NumStability.Analysis.Problem2_10	3394	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_five
NumStability.Analysis.Problem2_10	3407	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_five_exact_mul_five_below_two_pow
NumStability.Analysis.Problem2_10	3418	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_plus_quarter_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	3430	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_fifths_times_five
NumStability.Analysis.Problem2_10	3446	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_fifths_times_five
NumStability.Analysis.Problem2_10	3461	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_nine_finiteNormalRange
NumStability.Analysis.Problem2_10	3481	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_ninths_rounds_to_lower
NumStability.Analysis.Problem2_10	3556	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_nine
NumStability.Analysis.Problem2_10	3566	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_nine_exact_mul_nine_midpoint
NumStability.Analysis.Problem2_10	3576	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_ninths_times_nine
NumStability.Analysis.Problem2_10	3590	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_nine
NumStability.Analysis.Problem2_10	3603	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_nine_exact_mul_nine_midpoint
NumStability.Analysis.Problem2_10	3614	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_ninths_times_nine
NumStability.Analysis.Problem2_10	3630	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_ninths_times_nine
NumStability.Analysis.Problem2_10	3645	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_seventeen_finiteNormalRange
NumStability.Analysis.Problem2_10	3665	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_seventeenths_rounds_to_lower
NumStability.Analysis.Problem2_10	3740	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_seventeen
NumStability.Analysis.Problem2_10	3750	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_seventeen_exact_mul_seventeen_below
NumStability.Analysis.Problem2_10	3760	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_seventeenths_times_seventeen
NumStability.Analysis.Problem2_10	3774	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_seventeen
NumStability.Analysis.Problem2_10	3787	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_seventeen_exact_mul_seventeen_below
NumStability.Analysis.Problem2_10	3798	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_minus_one_sixteenth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	3810	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_seventeenths_times_seventeen
NumStability.Analysis.Problem2_10	3826	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_seventeenths_times_seventeen
NumStability.Analysis.Problem2_10	3841	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_thirtythree_finiteNormalRange
NumStability.Analysis.Problem2_10	3861	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_thirtythirds_rounds_to_upper
NumStability.Analysis.Problem2_10	3936	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_thirtythree
NumStability.Analysis.Problem2_10	3946	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_thirtythree_exact_mul_thirtythree_above
NumStability.Analysis.Problem2_10	3957	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_thirtythirds_times_thirtythree
NumStability.Analysis.Problem2_10	3972	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_thirtythree
NumStability.Analysis.Problem2_10	3985	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_thirtythree_exact_mul_thirtythree_above
NumStability.Analysis.Problem2_10	3996	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_plus_one_eighth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	4008	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_thirtythirds_times_thirtythree
NumStability.Analysis.Problem2_10	4025	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_thirtythirds_times_thirtythree
NumStability.Analysis.Problem2_10	4040	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_sixtyfive_finiteNormalRange
NumStability.Analysis.Problem2_10	4060	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_sixtyfifths_rounds_to_upper
NumStability.Analysis.Problem2_10	4135	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_sixtyfive
NumStability.Analysis.Problem2_10	4145	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_sixtyfive_exact_mul_sixtyfive_above
NumStability.Analysis.Problem2_10	4156	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_sixtyfifths_times_sixtyfive
NumStability.Analysis.Problem2_10	4171	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_sixtyfive
NumStability.Analysis.Problem2_10	4184	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_sixtyfive_exact_mul_sixtyfive_above
NumStability.Analysis.Problem2_10	4195	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_sixtyfifths_times_sixtyfive
NumStability.Analysis.Problem2_10	4212	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_sixtyfifths_times_sixtyfive
NumStability.Analysis.Problem2_10	4227	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_onehundredtwentynine_finiteNormalRange
NumStability.Analysis.Problem2_10	4247	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_onehundredtwentyninths_rounds_to_lower
NumStability.Analysis.Problem2_10	4322	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_onehundredtwentynine
NumStability.Analysis.Problem2_10	4332	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_onehundredtwentynine_exact_mul_onehundredtwentynine_below
NumStability.Analysis.Problem2_10	4343	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_onehundredtwentyninths_times_onehundredtwentynine
NumStability.Analysis.Problem2_10	4358	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_onehundredtwentynine
NumStability.Analysis.Problem2_10	4371	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_onehundredtwentynine_exact_mul_onehundredtwentynine_below
NumStability.Analysis.Problem2_10	4382	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_onehundredtwentyninths_times_onehundredtwentynine
NumStability.Analysis.Problem2_10	4399	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_onehundredtwentyninths_times_onehundredtwentynine
NumStability.Analysis.Problem2_10	4414	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_twohundredfiftyseven_finiteNormalRange
NumStability.Analysis.Problem2_10	4434	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_twohundredfiftysevenths_rounds_to_upper
NumStability.Analysis.Problem2_10	4509	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_twohundredfiftyseven
NumStability.Analysis.Problem2_10	4519	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_twohundredfiftyseven_exact_mul_twohundredfiftyseven_above
NumStability.Analysis.Problem2_10	4530	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_twohundredfiftysevenths_times_twohundredfiftyseven
NumStability.Analysis.Problem2_10	4546	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_twohundredfiftyseven
NumStability.Analysis.Problem2_10	4559	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_twohundredfiftyseven_exact_mul_twohundredfiftyseven_above
NumStability.Analysis.Problem2_10	4570	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_plus_one_sixteenth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	4582	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_twohundredfiftysevenths_times_twohundredfiftyseven
NumStability.Analysis.Problem2_10	4600	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_twohundredfiftysevenths_times_twohundredfiftyseven
NumStability.Analysis.Problem2_10	4615	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_fivehundredthirteen_finiteNormalRange
NumStability.Analysis.Problem2_10	4635	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_fivehundredthirteenths_rounds_to_lower
NumStability.Analysis.Problem2_10	4710	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_fivehundredthirteen
NumStability.Analysis.Problem2_10	4720	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_fivehundredthirteen_exact_mul_fivehundredthirteen_midpoint
NumStability.Analysis.Problem2_10	4731	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_fivehundredthirteenths_times_fivehundredthirteen
NumStability.Analysis.Problem2_10	4746	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_fivehundredthirteen
NumStability.Analysis.Problem2_10	4759	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_fivehundredthirteen_exact_mul_fivehundredthirteen_midpoint
NumStability.Analysis.Problem2_10	4770	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_neg_two_pow_fivehundredthirteenths_times_fivehundredthirteen
NumStability.Analysis.Problem2_10	4787	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_signed_two_pow_fivehundredthirteenths_times_fivehundredthirteen
NumStability.Analysis.Problem2_10	4835	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_minus_one_twohundredfiftysixth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	4903	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_minus_one_twohundredfiftysixth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	4949	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_minus_one_onethousandtwentyfourth_ulp_rounds_to_two_pow
NumStability.Analysis.Problem2_10	5017	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_negative_two_pow_minus_one_onethousandtwentyfourth_ulp_rounds_to_neg_two_pow
NumStability.Analysis.Problem2_10	5029	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_div_onethousandtwentyfive_finiteNormalRange
NumStability.Analysis.Problem2_10	5049	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_onethousandtwentyfifths_rounds_to_lower
NumStability.Analysis.Problem2_10	5124	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_onethousandtwentyfive
NumStability.Analysis.Problem2_10	5134	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_two_pow_onethousandtwentyfive_exact_mul_onethousandtwentyfive_below
NumStability.Analysis.Problem2_10	5145	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_two_pow_onethousandtwentyfifths_times_onethousandtwentyfive
NumStability.Analysis.Problem2_10	5161	theorem	NumStability.FloatingPointFormat.problem2_10_ieeeDouble_div_neg_two_pow_onethousandtwentyfive
